State: Top Ten Report Categories,,,,,,,,
,,,,,,,,
State,Category,# of Reports,Percentage,,,,,
Ohio,"Credit Bureaus, Information Furnishers and Report Users","15,147",11%,,,,,
Ohio,Online Shopping and Negative Reviews,"8,493",6%,,,,,
Ohio,Banks and Lenders,"7,980",6%,,,,,
Ohio,Auto Related,"5,451",4%,,,,,
Ohio,"Prizes, Sweepstakes and Lotteries","5,451",4%,,,,,
Ohio,Debt Collection,"3,574",3%,,,,,
Ohio,Telephone and Mobile Services,"3,106",2%,,,,,
Ohio,Internet Services,"3,054",2%,,,,,
Oklahoma,Identity Theft,"6,068",18%,,,,,
Oklahoma,Imposter Scams,"5,322",15%,,,,,
Oklahoma,"Credit Bureaus, Information Furnishers and Report Users","3,277",9%,,,,,
Oklahoma,Online Shopping and Negative Reviews,"2,374",7%,,,,,
Oklahoma,Banks and Lenders,"2,052",6%,,,,,
Oklahoma,"Prizes, Sweepstakes and Lotteries",1768,5%,,,,,
Oklahoma,Auto Related,1346,4%,,,,,
Oklahoma,Debt Collection,1015,3%,,,,,
Oklahoma,Telephone and Mobile Services,850,2%,,,,,
Oklahoma,Internet Services,841,2%,,,,,
Oregon,Imposter Scams,"9,619",21%,,,,,
Oregon,Identity Theft,"6,293",14%,,,,,
Oregon,Online Shopping and Negative Reviews,"3,812",8%,,,,,
Oregon,Banks and Lenders,"2,897",6%,,,,,
Oregon,"Prizes, Sweepstakes and Lotteries","2,279",5%,,,,,
Oregon,"Credit Bureaus, Information Furnishers and Report Users","1,859",4%,,,,,
Oregon,Internet Services,"1,439",3%,,,,,
Oregon,Auto Related,1365,3%,,,,,
Oregon,Telephone and Mobile Services,1086,2%,,,,,
Oregon,Health Care,1078,2%,,,,,
Pennsylvania,Identity Theft,"47,143",24%,,,,,
Pennsylvania,"Credit Bureaus, Information Furnishers and Report Users","43,242",22%,,,,,
Pennsylvania,Imposter Scams,"21,269",11%,,,,,
Pennsylvania,Online Shopping and Negative Reviews,"10,482",5%,,,,,
Pennsylvania,Banks and Lenders,"9,754",5%,,,,,
Pennsylvania,"Prizes, Sweepstakes and Lotteries","5,786",3%,,,,,
Pennsylvania,Auto Related,"4,765",2%,,,,,
Pennsylvania,Internet Services,"4,167",2%,,,,,
Pennsylvania,Debt Collection,"4,159",2%,,,,,
Pennsylvania,Credit Cards,"3,702",2%,,,,,
Puerto Rico,Imposter Scams,"1,758",24%,,,,,
Puerto Rico,Identity Theft,1537,21%,,,,,
Puerto Rico,"Credit Bureaus, Information Furnishers and Report Users",1444,19%,,,,,
Puerto Rico,Banks and Lenders,485,6%,,,,,
Puerto Rico,Online Shopping and Negative Reviews,292,4%,,,,,
Puerto Rico,Advance Payments for Credit Services,176,2%,,,,,
Puerto Rico,Debt Collection,137,2%,,,,,
Puerto Rico,Credit Cards,133,2%,,,,,
Puerto Rico,Internet Services,112,1%,,,,,
Puerto Rico,Investment Related,97,1%,,,,,
Rhode Island,Identity Theft,"2,420",21%,,,,,
Rhode Island,Imposter Scams,"1,776",15%,,,,,
Rhode Island,"Credit Bureaus, Information Furnishers and Report Users",1168,10%,,,,,
Rhode Island,Online Shopping and Negative Reviews,854,7%,,,,,
Rhode Island,Banks and Lenders,733,6%,,,,,
Rhode Island,Auto Related,450,4%,,,,,
Rhode Island,"Prizes, Sweepstakes and Lotteries",443,4%,,,,,
Rhode Island,Credit Cards,325,3%,,,,,
Rhode Island,Debt Collection,269,2%,,,,,
Rhode Island,Health Care,245,2%,,,,,
South Carolina,Identity Theft,"17,908",24%,,,,,
South Carolina,"Credit Bureaus, Information Furnishers and Report Users","14,205",19%,,,,,
South Carolina,Imposter Scams,"7,908",10%,,,,,
South Carolina,Banks and Lenders,"3,929",5%,,,,,
South Carolina,Online Shopping and Negative Reviews,"3,785",5%,,,,,
South Carolina,Debt Collection,"2,965",4%,,,,,
South Carolina,Auto Related,"2,761",4%,,,,,
South Carolina,"Prizes, Sweepstakes and Lotteries","2,613",3%,,,,,
South Carolina,Health Care,"1,436",2%,,,,,
South Carolina,Telephone and Mobile Services,1347,2%,,,,,
South Dakota,Imposter Scams,992,18%,,,,,
South Dakota,Identity Theft,670,12%,,,,,
South Dakota,Online Shopping and Negative Reviews,476,9%,,,,,
South Dakota,Banks and Lenders,458,8%,,,,,
South Dakota,"Prizes, Sweepstakes and Lotteries",355,6%,,,,,
South Dakota,"Credit Bureaus, Information Furnishers and Report Users",249,5%,,,,,
South Dakota,Auto Related,174,3%,,,,,
South Dakota,Debt Collection,170,3%,,,,,
South Dakota,Telephone and Mobile Services,145,3%,,,,,
South Dakota,Internet Services,142,3%,,,,,
Tennessee,Identity Theft,"16,124",18%,,,,,
Tennessee,"Credit Bureaus, Information Furnishers and Report Users","13,560",15%,,,,,
Tennessee,Imposter Scams,"10,273",12%,,,,,
Tennessee,Online Shopping and Negative Reviews,"5,161",6%,,,,,
Tennessee,Banks and Lenders,"4,570",5%,,,,,
Tennessee,Auto Related,"4,524",5%,,,,,
Tennessee,"Prizes, Sweepstakes and Lotteries","3,360",4%,,,,,
Tennessee,"Home Repair, Improvement and Products","2,729",3%,,,,,
Tennessee,Debt Collection,"2,664",3%,,,,,
Tennessee,Health Care,2316,3%,,,,,
Texas,Identity Theft,"113,808",28%,,,,,
Texas,"Credit Bureaus, Information Furnishers and Report Users","80,321",20%,,,,,
Texas,Imposter Scams,"39,453",10%,,,,,
Texas,Online Shopping and Negative Reviews,"19,796",5%,,,,,
Texas,Banks and Lenders,"18,725",5%,,,,,
Texas,Auto Related,"12,121",3%,,,,,
Texas,Debt Collection,"11,857",3%,,,,,
Texas,"Prizes, Sweepstakes and Lotteries","8,990",2%,,,,,
Texas,"Home Repair, Improvement and Products","7,756",2%,,,,,
Texas,Business and Job Opportunities,"7,408",2%,,,,,
Utah,Imposter Scams,"5,706",19%,,,,,
Utah,Identity Theft,"5,522",18%,,,,,
Utah,Online Shopping and Negative Reviews,"2,313",8%,,,,,
Utah,"Credit Bureaus, Information Furnishers and Report Users","1,808",6%,,,,,
Utah,Banks and Lenders,1516,5%,,,,,
Utah,"Prizes, Sweepstakes and Lotteries",1218,4%,,,,,
Utah,Auto Related,898,3%,,,,,
Utah,Health Care,841,3%,,,,,
Utah,Business and Job Opportunities,827,3%,,,,,
Utah,Debt Collection,774,3%,,,,,
Vermont,Imposter Scams,1369,25%,,,,,
Vermont,Identity Theft,564,10%,,,,,
Vermont,Online Shopping and Negative Reviews,512,9%,,,,,
Vermont,Banks and Lenders,460,8%,,,,,
Vermont,"Prizes, Sweepstakes and Lotteries",332,6%,,,,,
Vermont,Auto Related,223,4%,,,,,
Vermont,Health Care,156,3%,,,,,
Vermont,Internet Services,151,3%,,,,,
Vermont,Telephone and Mobile Services,147,3%,,,,,
Vermont,Credit Cards,126,2%,,,,,
Virginia,Identity Theft,"22,177",19%,,,,,
Virginia,Imposter Scams,"16,442",14%,,,,,
Virginia,"Credit Bureaus, Information Furnishers and Report Users","15,763",14%,,,,,
Virginia,Online Shopping and Negative Reviews,"7,403",6%,,,,,
Virginia,Banks and Lenders,"7,126",6%,,,,,
Virginia,Auto Related,"4,326",4%,,,,,
Virginia,"Prizes, Sweepstakes and Lotteries","3,780",3%,,,,,
Virginia,Debt Collection,"3,110",3%,,,,,
Virginia,Internet Services,"2,759",2%,,,,,
Virginia,Health Care,"2,642",2%,,,,,
Washington,Imposter Scams,"16,836",20%,,,,,
Washington,Identity Theft,"11,877",14%,,,,,
Washington,Online Shopping and Negative Reviews,"6,760",8%,,,,,
Washington,Banks and Lenders,"4,860",6%,,,,,
Washington,"Credit Bureaus, Information Furnishers and Report Users","4,323",5%,,,,,
Washington,"Prizes, Sweepstakes and Lotteries","3,157",4%,,,,,
Washington,Auto Related,"2,524",3%,,,,,
