Detailed Report Categories over Three Years,,,,
,,,,
Year,Category,SubCategory,# of Reports,Percentage
2021,Unspecified Reports,Unwanted Telemarketing Calls,"188,627",3.16%
2022,Advance Payments for Credit Services,Advance-Fee Credit,"30,348",0.59%
2022,Advance Payments for Credit Services,Credit Card Loss Protection,131,0.00%
2022,Advance Payments for Credit Services,Credit Repair,"3,823",0.07%
2022,Advance Payments for Credit Services,Refund Scams,257,0.00%
2022,Auto Related,Auto Financing,"11,827",0.23%
2022,Auto Related,Auto Parts & Repairs,"30,118",0.58%
2022,Auto Related,Auto Renting & Leasing,"17,278",0.34%
2022,Auto Related,Auto Service & Warranties,"12,635",0.25%
2022,Auto Related,Gasoline,"1,041",0.02%
2022,Auto Related,New Auto Sales,"41,867",0.81%
2022,Auto Related,Used Auto Sales,"49,535",0.96%
2022,Banks and Lenders,Auto Title Lending,"1,035",0.02%
2022,Banks and Lenders,Bank & Credit Union Lending,897,0.02%
2022,Banks and Lenders,"Banks, Credit Unions & S&Ls","89,361",1.74%
2022,Banks and Lenders,Finance Company Lending,"11,425",0.22%
2022,Banks and Lenders,Misc. Institution Lending,"14,443",0.28%
2022,Banks and Lenders,Mortgage Lending,"38,630",0.75%
2022,Banks and Lenders,Payday Loans,"7,466",0.14%
2022,Banks and Lenders,Student Loans,"85,995",1.67%
2022,Business and Job Opportunities,Business & Work-at-Home Opportunities,"13,799",0.27%
2022,Business and Job Opportunities,Franchises & Distributorships*,"2,678",0.05%
2022,Business and Job Opportunities,Invention Promotion,395,0.01%
2022,Business and Job Opportunities,Job Scams & Employment Agencies,"69,319",1.35%
2022,Business and Job Opportunities,Pyramids & Multi-Level Marketing,"9,319",0.18%
2022,Charitable Solicitations,Charitable Solicitations,"9,958",0.19%
2022,Computer Equipment and Software,Computer Equipment & Software,"16,912",0.33%
2022,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"645,718",12.54%
2022,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,"44,166",0.86%
2022,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,"1,615",0.03%
2022,Credit Cards,Credit Cards,"87,451",1.70%
2022,Debt Collection,Creditor Debt Collection,"36,897",0.72%
2022,Debt Collection,Third Party Debt Collection,"76,020",1.48%
2022,Education,Colleges & Universities,"17,491",0.34%
2022,Education,Trade & Vocational Schools,"2,239",0.04%
2022,Foreign Money Offers and Fake Check Scams,Fake Check Scams,"38,146",0.74%
2022,Foreign Money Offers and Fake Check Scams,Foreign Money & Inheritance Scams,"2,762",0.05%
2022,Funeral Services,Funeral Services,"1,470",0.03%
2022,Grants,Non-Educational Grants,"2,169",0.04%
2022,Grants,Scholarships & Educational Grants,279,0.01%
2022,Health Care,Connected Wearable Devices*,80,0.00%
2022,Health Care,"Diet Products, Plans & Centers","20,688",0.40%
2022,Health Care,Eye Care*,"5,748",0.11%
2022,Health Care,Health Care Billing,"1,635",0.03%
2022,Health Care,Medical Insurance & Discount Plans,"6,916",0.13%
2022,Health Care,Medical Treatments & Cures‡,"40,896",0.79%
2022,Health Care,Misc. Medical*‡,"23,759",0.46%
2022,"Home Repair, Improvement and Products",Home Appliances,"4,720",0.09%
2022,"Home Repair, Improvement and Products",Home Furnishings,"6,579",0.13%
2022,"Home Repair, Improvement and Products",Home Protection Devices,"1,491",0.03%
2022,"Home Repair, Improvement and Products",Home Repair,"9,993",0.19%
2022,"Home Repair, Improvement and Products",Home Warranties‡,"26,600",0.52%
2022,"Home Repair, Improvement and Products",Housing,"33,246",0.65%
2022,Identity Theft,Identity Theft,"1,108,609",21.52%
2022,Imposter Scams,Business Imposters,"373,683",7.26%
2022,Imposter Scams,Family & Friend Imposters,"36,393",0.71%
