Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Areas,Reports per 100K Population,# of Reports
193,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",832,"7,818"
194,"Lynchburg, VA Metropolitan Statistical Area",831,"2,185"
195,"Napa, CA Metropolitan Statistical Area",830,"1,150"
196,"Lexington-Fayette, KY Metropolitan Statistical Area",829,"4,263"
197,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",828,"4,595"
198,"Boise City, ID Metropolitan Statistical Area",827,"6,044"
199,"Roseburg, OR Micropolitan Statistical Area",826,909
200,"Billings, MT Metropolitan Statistical Area",825,"1,490"
201,"Watertown-Fort Drum, NY Metropolitan Statistical Area",823,917
202,"Texarkana, TX-AR Metropolitan Statistical Area",821,"1,227"
203,"Eureka-Arcata, CA Micropolitan Statistical Area",821,"1,117"
204,"Carbondale-Marion, IL Metropolitan Statistical Area",820,"1,122"
205,"Bozeman, MT Micropolitan Statistical Area",817,910
206,"Kalispell, MT Micropolitan Statistical Area",817,833
207,"Burlington-South Burlington, VT Metropolitan Statistical Area",815,"1,790"
208,"Meridian, MS Micropolitan Statistical Area",814,822
209,"Cookeville, TN Micropolitan Statistical Area",813,915
210,"Worcester, MA-CT Metropolitan Statistical Area",812,"7,659"
211,"Lansing-East Lansing, MI Metropolitan Statistical Area",812,"4,446"
212,"Fresno, CA Metropolitan Statistical Area",809,"8,015"
213,"Lumberton, NC Micropolitan Statistical Area",807,"1,063"
214,"Wichita, KS Metropolitan Statistical Area",807,"5,160"
215,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",804,"2,197"
216,"Niles, MI Metropolitan Statistical Area",804,"1,236"
217,"Lawrence, KS Metropolitan Statistical Area",799,969
218,"Wichita Falls, TX Metropolitan Statistical Area",796,"1,205"
219,"Winchester, VA-WV Metropolitan Statistical Area",795,"1,107"
220,"Springfield, IL Metropolitan Statistical Area",794,"1,654"
221,"New Bern, NC Metropolitan Statistical Area",794,988
222,"Gainesville, GA Metropolitan Statistical Area",793,"1,597"
223,"Manhattan, KS Metropolitan Statistical Area",793,"1,043"
224,"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",791,"3,931"
225,"Concord, NH Micropolitan Statistical Area",790,"1,192"
226,"Pottsville, PA Micropolitan Statistical Area",787,"1,117"
227,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",787,"4,234"
228,"Tulsa, OK Metropolitan Statistical Area",787,"7,835"
229,"Toledo, OH Metropolitan Statistical Area",786,"5,060"
230,"Flagstaff, AZ Metropolitan Statistical Area",785,"1,117"
231,"Jonesboro, AR Metropolitan Statistical Area",784,"1,042"
232,"Sherman-Denison, TX Metropolitan Statistical Area",784,"1,047"
233,"Lebanon, NH-VT Micropolitan Statistical Area",780,"1,697"
234,"Kalamazoo-Portage, MI Metropolitan Statistical Area",777,"2,055"
235,"Columbia, MO Metropolitan Statistical Area",777,"1,610"
236,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",776,989
237,"Erie, PA Metropolitan Statistical Area",775,"2,108"
238,"Pittsfield, MA Metropolitan Statistical Area",773,974
