Metropolitan Areas: Fraud and Other Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
183,"Columbia, MO Metropolitan Statistical Area",884,"1,854"
184,"Concord, NH Micropolitan Statistical Area",884,"1,352"
185,"Springfield, MO Metropolitan Statistical Area",883,"4,169"
186,"Hilo, HI Micropolitan Statistical Area",880,"1,765"
187,"Grand Junction, CO Metropolitan Statistical Area",879,"1,359"
188,"St. George, UT Metropolitan Statistical Area",878,"1,550"
189,"Roseburg, OR Micropolitan Statistical Area",877,971
190,"Lawton, OK Metropolitan Statistical Area",876,"1,113"
191,"Buffalo-Cheektowaga, NY Metropolitan Statistical Area",875,"10,170"
192,"Redding, CA Metropolitan Statistical Area",873,"1,589"
193,"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",870,"2,674"
194,"Sherman-Denison, TX Metropolitan Statistical Area",870,"1,168"
195,"Oklahoma City, OK Metropolitan Statistical Area",868,"12,264"
196,"Kalispell, MT Micropolitan Statistical Area",867,896
197,"Pittsfield, MA Metropolitan Statistical Area",866,"1,118"
198,"Jackson, TN Metropolitan Statistical Area",865,"1,557"
199,"Lexington-Fayette, KY Metropolitan Statistical Area",863,"4,441"
200,"Eureka-Arcata, CA Micropolitan Statistical Area",863,"1,182"
201,"Lebanon, NH-VT Micropolitan Statistical Area",860,"1,901"
202,"Carbondale-Marion, IL Metropolitan Statistical Area",859,"1,152"
203,"Portland-South Portland, ME Metropolitan Statistical Area",858,"4,700"
204,"Dothan, AL Metropolitan Statistical Area",857,"1,287"
205,"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",857,"4,222"
206,"Albany-Lebanon, OR Metropolitan Statistical Area",855,"1,088"
207,"Lawrence, KS Metropolitan Statistical Area",855,"1,015"
208,"California-Lexington Park, MD Metropolitan Statistical Area",854,967
209,"Longview, TX Metropolitan Statistical Area",850,"2,429"
210,"Burlington-South Burlington, VT Metropolitan Statistical Area",848,"1,904"
211,"Racine, WI Metropolitan Statistical Area",845,"1,667"
212,"Monroe, LA Metropolitan Statistical Area",843,"1,747"
213,"Lebanon, PA Metropolitan Statistical Area",839,"1,196"
214,"Canton-Massillon, OH Metropolitan Statistical Area",839,"3,370"
215,"Springfield, IL Metropolitan Statistical Area",836,"1,749"
216,"Johnson City, TN Metropolitan Statistical Area",836,"1,725"
