State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
New Mexico,"Prizes, Sweepstakes and Lotteries",991,7%
New Mexico,Telephone and Mobile Services,814,6%
New Mexico,Banks and Lenders,625,4%
New Mexico,"Credit Bureaus, Information Furnishers and Report Users",598,4%
New Mexico,Shop-at-Home and Catalog Sales,510,4%
New Mexico,Foreign Money Offers and Counterfeit Check Scams,452,3%
New Mexico,Auto Related,392,3%
Nevada,Debt Collection,6538,24%
Nevada,Identity Theft,3828,14%
Nevada,Imposter Scams,3641,14%
Nevada,Banks and Lenders,1766,7%
Nevada,Telephone and Mobile Services,1747,6%
Nevada,"Credit Bureaus, Information Furnishers and Report Users",1181,4%
Nevada,"Prizes, Sweepstakes and Lotteries",983,4%
Nevada,Shop-at-Home and Catalog Sales,983,4%
Nevada,Auto Related,910,3%
Nevada,Credit Cards,508,2%
New York,Identity Theft,20397,17%
New York,Debt Collection,20110,17%
New York,Imposter Scams,15139,12%
New York,Banks and Lenders,9289,8%
New York,Telephone and Mobile Services,7598,6%
New York,Shop-at-Home and Catalog Sales,6698,6%
New York,"Credit Bureaus, Information Furnishers and Report Users",5624,5%
New York,"Prizes, Sweepstakes and Lotteries",4716,4%
New York,Auto Related,4354,4%
New York,Credit Cards,3268,3%
Ohio,Debt Collection,20576,26%
Ohio,Identity Theft,9121,12%
Ohio,Imposter Scams,9097,12%
Ohio,Banks and Lenders,4999,6%
Ohio,"Prizes, Sweepstakes and Lotteries",4906,6%
Ohio,Telephone and Mobile Services,4475,6%
Ohio,Auto Related,3482,4%
Ohio,Shop-at-Home and Catalog Sales,3397,4%
Ohio,"Credit Bureaus, Information Furnishers and Report Users",2578,3%
Ohio,Television and Electronic Media,2404,3%
Oklahoma,Debt Collection,5154,24%
Oklahoma,Imposter Scams,2979,14%
Oklahoma,Identity Theft,2901,13%
Oklahoma,"Prizes, Sweepstakes and Lotteries",1942,9%
Oklahoma,Telephone and Mobile Services,1172,5%
Oklahoma,Banks and Lenders,1044,5%
Oklahoma,Shop-at-Home and Catalog Sales,849,4%
Oklahoma,Auto Related,683,3%
Oklahoma,"Credit Bureaus, Information Furnishers and Report Users",581,3%
Oklahoma,Television and Electronic Media,416,2%
Oregon,Imposter Scams,4634,19%
Oregon,Identity Theft,3714,15%
Oregon,Debt Collection,2840,11%
Oregon,Telephone and Mobile Services,2086,8%
Oregon,"Prizes, Sweepstakes and Lotteries",1790,7%
Oregon,Banks and Lenders,1687,7%
Oregon,Shop-at-Home and Catalog Sales,1258,5%
Oregon,Auto Related,875,4%
Oregon,"Credit Bureaus, Information Furnishers and Report Users",848,3%
Oregon,Internet Services,844,3%
Pennsylvania,Debt Collection,18474,22%
Pennsylvania,Identity Theft,12468,15%
Pennsylvania,Imposter Scams,10340,12%
Pennsylvania,Banks and Lenders,5601,7%
Pennsylvania,Telephone and Mobile Services,5028,6%
Pennsylvania,"Prizes, Sweepstakes and Lotteries",4317,5%
Pennsylvania,Shop-at-Home and Catalog Sales,4182,5%
Pennsylvania,"Credit Bureaus, Information Furnishers and Report Users",2880,3%
Pennsylvania,Auto Related,2677,3%
Pennsylvania,Credit Cards,1735,2%
Puerto Rico,Identity Theft,2046,47%
Puerto Rico,Imposter Scams,365,8%
Puerto Rico,"Credit Bureaus, Information Furnishers and Report Users",238,5%
Puerto Rico,Banks and Lenders,236,5%
Puerto Rico,Shop-at-Home and Catalog Sales,179,4%
Puerto Rico,Debt Collection,165,4%
Puerto Rico,Telephone and Mobile Services,140,3%
Puerto Rico,"Prizes, Sweepstakes and Lotteries",82,2%
Puerto Rico,Credit Cards,79,2%
Puerto Rico,Advance Payments for Credit Services,74,2%
Rhode Island,Debt Collection,1904,26%
Rhode Island,Identity Theft,1302,18%
Rhode Island,Imposter Scams,1027,14%
Rhode Island,Banks and Lenders,455,6%
Rhode Island,Telephone and Mobile Services,330,5%
Rhode Island,Shop-at-Home and Catalog Sales,323,4%
Rhode Island,"Prizes, Sweepstakes and Lotteries",271,4%
Rhode Island,Auto Related,221,3%
Rhode Island,"Credit Bureaus, Information Furnishers and Report Users",177,2%
Rhode Island,Credit Cards,144,2%
South Carolina,Debt Collection,10147,27%
South Carolina,Imposter Scams,4510,12%
South Carolina,Identity Theft,4509,12%
South Carolina,"Prizes, Sweepstakes and Lotteries",2766,7%
South Carolina,Banks and Lenders,2328,6%
South Carolina,"Credit Bureaus, Information Furnishers and Report Users",2117,6%
South Carolina,Telephone and Mobile Services,1916,5%
South Carolina,Shop-at-Home and Catalog Sales,1595,4%
South Carolina,Auto Related,1565,4%
South Carolina,Television and Electronic Media,1048,3%
South Dakota,Imposter Scams,482,16%
South Dakota,Identity Theft,403,13%
South Dakota,"Prizes, Sweepstakes and Lotteries",309,10%
South Dakota,Telephone and Mobile Services,286,9%
South Dakota,Debt Collection,229,7%
South Dakota,Banks and Lenders,214,7%
South Dakota,Shop-at-Home and Catalog Sales,182,6%
South Dakota,Auto Related,108,3%
South Dakota,"Credit Bureaus, Information Furnishers and Report Users",86,3%
South Dakota,Credit Cards,79,3%
Tennessee,Debt Collection,13508,27%
Tennessee,Imposter Scams,5906,12%
Tennessee,Identity Theft,5586,11%
Tennessee,"Prizes, Sweepstakes and Lotteries",3179,6%
Tennessee,Banks and Lenders,2615,5%
Tennessee,Telephone and Mobile Services,2561,5%
Tennessee,"Credit Bureaus, Information Furnishers and Report Users",2213,5%
Tennessee,Shop-at-Home and Catalog Sales,2023,4%
Tennessee,Auto Related,1901,4%
Tennessee,Television and Electronic Media,1273,3%
Texas,Debt Collection,94816,40%
Texas,Identity Theft,33454,14%
Texas,Imposter Scams,20611,9%
Texas,"Credit Bureaus, Information Furnishers and Report Users",11187,5%
Texas,Banks and Lenders,10041,4%
Texas,Telephone and Mobile Services,8494,4%
Texas,"Prizes, Sweepstakes and Lotteries",8472,4%
Texas,Shop-at-Home and Catalog Sales,7089,3%
Texas,Auto Related,6991,3%
Texas,Television and Electronic Media,3290,1%
Utah,Imposter Scams,2566,17%
Utah,Identity Theft,2452,16%
Utah,Debt Collection,1913,13%
Utah,Telephone and Mobile Services,1147,8%
Utah,"Prizes, Sweepstakes and Lotteries",910,6%
