Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
177,"Goldsboro, NC Metropolitan Statistical Area",83,103
178,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",83,460
179,"Warner Robins, GA Metropolitan Statistical Area",83,157
180,"Huntsville, AL Metropolitan Statistical Area",82,371
181,"Knoxville, TN Metropolitan Statistical Area",82,716
182,"Jackson, MS Metropolitan Statistical Area",82,476
183,"Rockford, IL Metropolitan Statistical Area",82,278
184,"Dunn, NC Micropolitan Statistical Area",82,107
185,"Springfield, MA Metropolitan Statistical Area",82,515
186,"Barnstable Town, MA Metropolitan Statistical Area",82,175
187,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",82,485
188,"Carbondale-Marion, IL Metropolitan Statistical Area",81,103
189,"Yuba City, CA Metropolitan Statistical Area",81,140
190,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",81,460
191,"Albany, OR Metropolitan Statistical Area",81,99
192,"Clarksville, TN-KY Metropolitan Statistical Area",80,227
193,"Medford, OR Metropolitan Statistical Area",80,174
194,"Las Cruces, NM Metropolitan Statistical Area",80,172
195,"Concord, NH Micropolitan Statistical Area",80,119
196,"Madison, WI Metropolitan Statistical Area",80,519
197,"Salisbury, MD-DE Metropolitan Statistical Area",79,318
198,"Auburn-Opelika, AL Metropolitan Statistical Area",79,126
199,"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",79,165
200,"Amarillo, TX Metropolitan Statistical Area",79,208
201,"Dayton, OH Metropolitan Statistical Area",79,632
202,"Burlington, NC Metropolitan Statistical Area",79,126
203,"Hanford-Corcoran, CA Metropolitan Statistical Area",79,118
204,"Shreveport-Bossier City, LA Metropolitan Statistical Area",79,348
205,"Anchorage, AK Metropolitan Statistical Area",79,317
206,"Rochester, NY Metropolitan Statistical Area",79,847
207,"Akron, OH Metropolitan Statistical Area",78,551
208,"Morristown, TN Metropolitan Statistical Area",78,92
209,"Albany, GA Metropolitan Statistical Area",78,119
210,"Rochester, MN Metropolitan Statistical Area",78,168
211,"Cookeville, TN Micropolitan Statistical Area",78,85
212,"Waco, TX Metropolitan Statistical Area",77,205
213,"Texarkana, TX-AR Metropolitan Statistical Area",77,116
214,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",77,713
215,"Hattiesburg, MS Metropolitan Statistical Area",77,115
216,"Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",77,105
217,"St. George, UT Metropolitan Statistical Area",77,123
218,"Worcester, MA-CT Metropolitan Statistical Area",77,718
219,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",77,202
220,"Lexington-Fayette, KY Metropolitan Statistical Area",76,387
221,"Cedar Rapids, IA Metropolitan Statistical Area",76,203
222,"Charleston, WV Metropolitan Statistical Area",75,164
223,"Ogden-Clearfield, UT Metropolitan Statistical Area",75,492
224,"Portland-South Portland, ME Metropolitan Statistical Area",75,398
225,"Spartanburg, SC Metropolitan Statistical Area",75,247
226,"Charlottesville, VA Metropolitan Statistical Area",75,173
227,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",74,388
228,"Lafayette-West Lafayette, IN Metropolitan Statistical Area",74,160
